"WHITMORE ET AL. 2005 - MODERN POLLEN DATABASE FOR NORTH AMERICA AND GREENLAND, v.1.8",,,,,,,,,
,,,,,,,,,
UPDATE HISTORY,,,,,,,,,
Version,Date Released,Author of changes,Changes,,,,,,
,,,"d. Duplicate samples identified by Bianca Frechette (ID2:  3930, 3985, 3984, 4124) were removed from primary data table and placed in Removed Pollen Sites worksheet.  These sites had a SCD of 0 with four corresponding samples (ID2:  3893, 326, 330, 213).",,,,,,
,,,"e. A second zip file includes the original pollen data and metadata files contributed by the investigators, along with Excel conversion tables showing how Williams matched the investigator’s taxon names to the original taxon names to standard Whitmore et al. taxon names.  These associated datafiles allow users to use pollen types not included in the dataset.",,,,,,
,,,1. CLIMATE+BIOCLIMATE,,,,,,
,,,"a. Removed several extraneous columns from middle of worksheet:  id, lon, lat, elev   (note that ID2, ID1, LONDD, and LATDD in Columns A-F were kept)",,,,,,
,,,b. Removed ‘ptotal’– it was redundant with ‘pann’,,,,,,
,,,c. Rearranged columns so that monthly variables precede all derived (bioclimatic) variables.,,,,,,
,,,"d. Added seasonal means for monthly climate variables (TMAM, TJJA, TSON, TDJF, PMAM, PJJA, PSON, PDJF, SMAM, SJJA, SSON, SDJF)",,,,,,
,,,2. AVHRR,,,,,,
,,,"a. Tree-cover attributions for a 21x21km search window was added to the output datasets, for all samples",,,,,,
,,,"b. Total woody cover added to the output dataset, for all samples.  This is simply a sum of the broadleaved and needleleaved components.",,,,,,
,,,3. UNFINISHED BUSINESS,,,,,,
,,,a. Have not assigned DISCover and Federova land cover types to new samples,,,,,,
,,,b. Have not determined east/west assignments for pollen types.,,,,,,
,,,      c. Have not estimated positional errors for new samples.,,,,,,
1.61,2007-01-29,J Williams,Corrected incorrect values in the 'ID2' field of the 'East_West' worksheet.  This error only affected ID2 values >4311.  ,,,,,,
1.6,2006-10-30,J Williams,"Added table indicating whether certain pollen types should be considered eastern or western varieties, based upon the location of the sample site and the ranges of the parent species. ",,,,,,
1.55,2006-08-24,J Williams,"Corrected or expanded labels for Lithocarpus, Eriogonum, Ericales, Rumex/Oxyria, and Ericaceae Chamaedaphne/Ledum",,,,,,
1.54,2006-01-30,K Gajewski,"Metadata updated, and HVMR ID's updated in climate and avhrr sheets",,,,,,
1.53,2006-01-17,K Gajewski,Several <pollen sum> (in the vicinity of ID2:4420) did not equal the sum of the pollen grains. These were recomputed. Thanks again to M Peros.,,,,,,
1.52,2005-12-21,K Gajewski,"Added Fedorova et al (1994) Vegetation classes (see Paper, Figure 3)",,,,,,
,,,corrected label for Picea,,,,,,
1.51,2005-12-19,J Whitmore & K Gajewski,Several small corrections based on comments from M Peros,,,,,,
,,,"(a) Several sitenames were different between the different worksheets, these were simply made to concur.",,,,,,
,,,(b) Only significant change: NMHL & HVMR series did not match line-by-line between different worksheets - these were corrected,,,,,,
1.5,2005-08-02,J Williams,"An error was found in the script that assigned North American Seasonal Land Cover values (NASLCR; from the DISCover dataset) to surface sample locations. The assignment of other vegetation attributes was unaffected by this error. Therefore only the valuies in the AVHRR worksheet, NASLCR column are affected by this change. IN some version of the dataset, the NASCLR column is incorrectly lableed as ""Biome"" . THis was version used in the Williams et al Atlas.",,,,,,
1.4,2005-04-14,K Gajewski,Positional errors worksheet added. This was the first public release.,,,,,,
1.4,2004-12-29,J Whitmore,Version used in Whitmore et al paper,,,,,,
