"entitynum","samplenum","varname","varnum","count"
4.00,1.00,"Plantago ciliata-type",,1.00
4.00,1.00,"Poaceae undiff.",1207.00,71.00
4.00,1.00,"Prosopis-type africana",3947.00,16.00
4.00,1.00,"Pulicaria",3644.00,14.00
4.00,1.00,"Tamarix",260.00,1.00
4.00,1.00,"Tribulus",440.00,2.00
4.00,1.00,"Typha",112.00,1.00
5.00,1.00,"Acacia",37.00,1.00
5.00,1.00,"Aerva-type lanata",1096.00,3.00
5.00,1.00,"Amaranthus-type",789.00,1.00
5.00,1.00,"Artemisia",252.00,2.00
5.00,1.00,"Chenopodium-type",409.00,1.00
5.00,1.00,"Conyza",,3.00
5.00,1.00,"Cyperaceae undiff.",1190.00,2.00
5.00,1.00,"Ephedra fragilis-type",2065.00,1.00
5.00,1.00,"Indeterminable",1198.00,2.00
5.00,1.00,"Plantago ciliata-type",,1.00
5.00,1.00,"Poaceae undiff.",1207.00,8.00
5.00,1.00,"Pulicaria",3644.00,6.00
5.00,1.00,"Vernonia perrottetii-type",1287.00,1.00
6.00,1.00,"Aaronsohnia-type pubescens",,14.00
6.00,1.00,"Acacia",37.00,1.00
6.00,1.00,"Aerva-type lanata",1096.00,26.00
6.00,1.00,"Amaranthus-type",789.00,2.00
6.00,1.00,"Artemisia",252.00,7.00
6.00,1.00,"Arthrocnemum macrostachyum-type",,1.00
6.00,1.00,"Atriplex-type",,3.00
6.00,1.00,"Avicennia marina-type",,6.00
6.00,1.00,"Blepharis-type",2225.00,1.00
6.00,1.00,"Chenopodium-type",409.00,2.00
6.00,1.00,"Conyza",,6.00
6.00,1.00,"Cyperaceae undiff.",1190.00,27.00
6.00,1.00,"Dodonaea viscosa-type",1222.00,1.00
6.00,1.00,"Euphorbia-type",529.00,4.00
6.00,1.00,"Indeterminable",1198.00,11.00
6.00,1.00,"Olea europaea-type",1755.00,1.00
6.00,1.00,"Poaceae undiff.",1207.00,30.00
6.00,1.00,"Prosopis-type africana",3947.00,2.00
6.00,1.00,"Pulicaria",3644.00,4.00
6.00,1.00,"Rhanterium-type",,2.00
6.00,1.00,"Tripleurospermum-type",,1.00
6.00,1.00,"Vernonia perrottetii-type",1287.00,1.00
6.00,1.00,"Zygophyllum simplex-type",2425.00,3.00
7.00,1.00,"Aerva-type lanata",1096.00,153.00
7.00,1.00,"Amaranthus-type",789.00,12.00
7.00,1.00,"Apiaceae undiff.",1171.00,2.00
7.00,1.00,"Artemisia",252.00,19.00
7.00,1.00,"Atriplex-type",,23.00
7.00,1.00,"Avicennia marina-type",,17.00
7.00,1.00,"Blepharis-type",2225.00,1.00
7.00,1.00,"Brassicaceae undiff.",1182.00,3.00
7.00,1.00,"Cichorieae undiff.",1180.00,3.00
7.00,1.00,"Convolvulus-type",661.00,3.00
7.00,1.00,"Conyza",,15.00
7.00,1.00,"Cyperaceae undiff.",1190.00,96.00
7.00,1.00,"Dodonaea viscosa-type",1222.00,4.00
7.00,1.00,"Ephedra fragilis-type",2065.00,8.00
7.00,1.00,"Euphorbia-type",529.00,14.00
7.00,1.00,"Indeterminable",1198.00,40.00
7.00,1.00,"Plantago ciliata-type",,3.00
7.00,1.00,"Poaceae undiff.",1207.00,80.00
7.00,1.00,"Podocarpus",128.00,2.00
7.00,1.00,"Prosopis-type africana",3947.00,8.00
7.00,1.00,"Rumex",146.00,4.00
7.00,1.00,"Tamarix",260.00,8.00
7.00,1.00,"Tribulus",440.00,6.00
7.00,1.00,"Vernonia perrottetii-type",1287.00,4.00
7.00,1.00,"Zygophyllum simplex-type",2425.00,40.00
8.00,1.00,"Acacia",37.00,1.00
8.00,1.00,"Aerva-type lanata",1096.00,37.00
8.00,1.00,"Amaranthus-type",789.00,5.00
8.00,1.00,"Artemisia",252.00,15.00
8.00,1.00,"Arthrocnemum macrostachyum-type",,7.00
8.00,1.00,"Atriplex-type",,7.00
8.00,1.00,"Avicennia marina-type",,17.00
8.00,1.00,"Celosia-type",643.00,4.00
8.00,1.00,"Chenopodium-type",409.00,5.00
8.00,1.00,"Cichorieae undiff.",1180.00,1.00
8.00,1.00,"Combretaceae undiff.",1187.00,1.00
8.00,1.00,"Conyza",,67.00
8.00,1.00,"Cyperaceae undiff.",1190.00,23.00
8.00,1.00,"Dodonaea viscosa-type",1222.00,4.00
8.00,1.00,"Ephedra fragilis-type",2065.00,1.00
8.00,1.00,"Euphorbia-type",529.00,3.00
8.00,1.00,"Indeterminable",1198.00,27.00
8.00,1.00,"Pinus",437.00,1.00
8.00,1.00,"Poaceae undiff.",1207.00,51.00
8.00,1.00,"Pteris-type",398.00,2.00
8.00,1.00,"Rumex",146.00,1.00
8.00,1.00,"Tamarix",260.00,2.00
8.00,1.00,"Tribulus",440.00,4.00
8.00,1.00,"Urticaceae undiff.",1232.00,1.00
8.00,1.00,"Vernonia perrottetii-type",1287.00,1.00
8.00,1.00,"Zygophyllum simplex-type",2425.00,10.00
9.00,1.00,"Acacia",37.00,8.00
9.00,1.00,"Aerva-type lanata",1096.00,22.00
9.00,1.00,"Amaranthus-type",789.00,25.00
9.00,1.00,"Artemisia",252.00,8.00
9.00,1.00,"Arthrocnemum macrostachyum-type",,6.00
9.00,1.00,"Asphodelus",2502.00,12.00
9.00,1.00,"Atriplex-type",,16.00
9.00,1.00,"Avicennia marina-type",,5.00
9.00,1.00,"Blepharis-type",2225.00,1.00
9.00,1.00,"Celosia-type",643.00,1.00
9.00,1.00,"Chenopodium-type",409.00,3.00
9.00,1.00,"Cichorieae undiff.",1180.00,10.00
9.00,1.00,"Convolvulus-type",661.00,4.00
9.00,1.00,"Conyza",,43.00
9.00,1.00,"Cyperaceae undiff.",1190.00,21.00
9.00,1.00,"Dodonaea viscosa-type",1222.00,5.00
9.00,1.00,"Ephedra distachya-type",2277.00,4.00
9.00,1.00,"Ephedra fragilis-type",2065.00,2.00
9.00,1.00,"Euphorbia-type",529.00,2.00
9.00,1.00,"Indeterminable",1198.00,29.00
9.00,1.00,"Poaceae undiff.",1207.00,92.00
9.00,1.00,"Polygala-type",110.00,1.00
9.00,1.00,"Polypodium-type polypodioides",3541.00,3.00
9.00,1.00,"Prosopis-type africana",3947.00,12.00
9.00,1.00,"Pteris-type",398.00,9.00
9.00,1.00,"Rumex",146.00,6.00
9.00,1.00,"Tamarix",260.00,5.00
9.00,1.00,"Tribulus",440.00,5.00
9.00,1.00,"Vernonia perrottetii-type",1287.00,2.00
9.00,1.00,"Ziziphus-type spina-christi",,5.00
9.00,1.00,"Zygophyllum simplex-type",2425.00,2.00
10.00,1.00,"Acacia",37.00,1.00
10.00,1.00,"Aerva-type lanata",1096.00,34.00
10.00,1.00,"Amaranthus-type",789.00,11.00
10.00,1.00,"Apiaceae undiff.",1171.00,1.00
10.00,1.00,"Artemisia",252.00,11.00
10.00,1.00,"Arthrocnemum macrostachyum-type",,12.00
10.00,1.00,"Atriplex-type",,13.00
10.00,1.00,"Avicennia marina-type",,13.00
10.00,1.00,"Celosia-type",643.00,6.00
10.00,1.00,"Chenopodium-type",409.00,5.00
10.00,1.00,"Cichorieae undiff.",1180.00,4.00
10.00,1.00,"Convolvulus-type",661.00,3.00
10.00,1.00,"Conyza",,98.00
10.00,1.00,"Cyperaceae undiff.",1190.00,40.00
10.00,1.00,"Dodonaea viscosa-type",1222.00,3.00
10.00,1.00,"Ephedra fragilis-type",2065.00,1.00
10.00,1.00,"Euphorbia-type",529.00,4.00
10.00,1.00,"Heliotropium ramosissimum-type",2662.00,1.00
10.00,1.00,"Indeterminable",1198.00,14.00
10.00,1.00,"Pinus",437.00,3.00
10.00,1.00,"Poaceae undiff.",1207.00,62.00
10.00,1.00,"Prosopis-type africana",3947.00,3.00
10.00,1.00,"Tribulus",440.00,5.00
10.00,1.00,"Vernonia perrottetii-type",1287.00,2.00
10.00,1.00,"Zygophyllum simplex-type",2425.00,9.00
11.00,1.00,"Acacia",37.00,1.00
11.00,1.00,"Aerva-type lanata",1096.00,74.00
11.00,1.00,"Alternanthera",179.00,1.00
11.00,1.00,"Amaranthus-type",789.00,14.00
11.00,1.00,"Apiaceae undiff.",1171.00,2.00
11.00,1.00,"Artemisia",252.00,15.00
11.00,1.00,"Arthrocnemum macrostachyum-type",,21.00
11.00,1.00,"Atriplex-type",,8.00
11.00,1.00,"Avicennia marina-type",,33.00
11.00,1.00,"Blepharis-type",2225.00,2.00
11.00,1.00,"Celosia-type",643.00,8.00
11.00,1.00,"Chenopodium-type",409.00,10.00
11.00,1.00,"Cichorieae undiff.",1180.00,1.00
11.00,1.00,"Convolvulus-type",661.00,4.00
11.00,1.00,"Conyza",,83.00
11.00,1.00,"Cyperaceae undiff.",1190.00,114.00
11.00,1.00,"Dodonaea viscosa-type",1222.00,1.00
11.00,1.00,"Ephedra distachya-type",2277.00,1.00
11.00,1.00,"Ephedra fragilis-type",2065.00,1.00
11.00,1.00,"Euphorbia-type",529.00,7.00
11.00,1.00,"Indeterminable",1198.00,36.00
11.00,1.00,"Olea europaea-type",1755.00,2.00
11.00,1.00,"Plantago ciliata-type",,4.00
11.00,1.00,"Poaceae undiff.",1207.00,93.00
11.00,1.00,"Polycarpaea-type",2059.00,1.00
11.00,1.00,"Polycarpon-type",2060.00,4.00
11.00,1.00,"Prosopis-type africana",3947.00,5.00
11.00,1.00,"Pteris-type",398.00,1.00
11.00,1.00,"Rumex",146.00,4.00
11.00,1.00,"Tamarix",260.00,2.00
11.00,1.00,"Urticaceae undiff.",1232.00,1.00
11.00,1.00,"Vernonia perrottetii-type",1287.00,7.00
11.00,1.00,"Zygophyllum simplex-type",2425.00,19.00
12.00,1.00,"Acacia",37.00,2.00
12.00,1.00,"Aerva-type lanata",1096.00,7.00
12.00,1.00,"Amaranthus-type",789.00,3.00
12.00,1.00,"Artemisia",252.00,1.00
12.00,1.00,"Asphodelus",2502.00,2.00
12.00,1.00,"Atriplex-type",,5.00
12.00,1.00,"Avicennia marina-type",,1.00
12.00,1.00,"Blepharis-type",2225.00,3.00
12.00,1.00,"Cichorieae undiff.",1180.00,11.00
12.00,1.00,"Conyza",,9.00
12.00,1.00,"Cyperaceae undiff.",1190.00,14.00
12.00,1.00,"Dodonaea viscosa-type",1222.00,3.00
12.00,1.00,"Ephedra fragilis-type",2065.00,2.00
12.00,1.00,"Euphorbia-type",529.00,2.00
12.00,1.00,"Indeterminable",1198.00,9.00
12.00,1.00,"Pinus",437.00,2.00
12.00,1.00,"Poaceae undiff.",1207.00,20.00
12.00,1.00,"Polygala-type",110.00,1.00
12.00,1.00,"Polypodium-type polypodioides",3541.00,1.00
12.00,1.00,"Prosopis-type africana",3947.00,1.00
12.00,1.00,"Pteris-type",398.00,4.00
12.00,1.00,"Rumex",146.00,2.00
12.00,1.00,"Vernonia perrottetii-type",1287.00,3.00
12.00,1.00,"Zygophyllum simplex-type",2425.00,1.00
13.00,1.00,"Acacia",37.00,6.00
13.00,1.00,"Aerva-type lanata",1096.00,169.00
13.00,1.00,"Amaranthus-type",789.00,45.00
13.00,1.00,"Apiaceae undiff.",1171.00,13.00
13.00,1.00,"Artemisia",252.00,20.00
13.00,1.00,"Arthrocnemum macrostachyum-type",,10.00
13.00,1.00,"Asphodelus",2502.00,3.00
13.00,1.00,"Atriplex-type",,40.00
13.00,1.00,"Blepharis-type",2225.00,2.00
13.00,1.00,"Cassia-type",45.00,1.00
13.00,1.00,"Celosia-type",643.00,9.00
13.00,1.00,"Chenopodium-type",409.00,4.00
13.00,1.00,"Cichorieae undiff.",1180.00,9.00
13.00,1.00,"Convolvulus-type",661.00,22.00
13.00,1.00,"Conyza",,1944.00
13.00,1.00,"Cuscuta-type",3393.00,7.00
13.00,1.00,"Cyperaceae undiff.",1190.00,92.00
13.00,1.00,"Dodonaea viscosa-type",1222.00,8.00
13.00,1.00,"Ephedra distachya-type",2277.00,4.00
13.00,1.00,"Ephedra fragilis-type",2065.00,13.00
13.00,1.00,"Euphorbia-type",529.00,32.00
13.00,1.00,"Indeterminable",1198.00,97.00
13.00,1.00,"Kohautia",295.00,1.00
13.00,1.00,"Limonium-type",4016.00,2.00
13.00,1.00,"Pinus",437.00,2.00
13.00,1.00,"Poaceae undiff.",1207.00,512.00
13.00,1.00,"Polypodium-type polypodioides",3541.00,2.00
13.00,1.00,"Prosopis-type africana",3947.00,9.00
13.00,1.00,"Rumex",146.00,7.00
13.00,1.00,"Tamarix",260.00,2.00
13.00,1.00,"Thymelaeaceae undiff.",1228.00,1.00
13.00,1.00,"Tribulus",440.00,10.00
13.00,1.00,"Urticaceae undiff.",1232.00,1.00
13.00,1.00,"Vernonia perrottetii-type",1287.00,6.00
13.00,1.00,"Zygophyllum simplex-type",2425.00,649.00
14.00,1.00,"Acacia",37.00,1.00
14.00,1.00,"Aerva-type lanata",1096.00,5.00
14.00,1.00,"Amaranthus-type",789.00,2.00
14.00,1.00,"Artemisia",252.00,3.00
14.00,1.00,"Arthrocnemum macrostachyum-type",,1.00
14.00,1.00,"Atriplex-type",,3.00
14.00,1.00,"Chenopodium-type",409.00,3.00
14.00,1.00,"Conyza",,1.00
14.00,1.00,"Cuscuta-type",3393.00,1.00
14.00,1.00,"Cyperaceae undiff.",1190.00,19.00
14.00,1.00,"Dodonaea viscosa-type",1222.00,2.00
14.00,1.00,"Indeterminable",1198.00,16.00
14.00,1.00,"Pinus",437.00,1.00
14.00,1.00,"Poaceae undiff.",1207.00,13.00
14.00,1.00,"Urticaceae undiff.",1232.00,2.00
14.00,1.00,"Zygophyllum simplex-type",2425.00,4.00
15.00,1.00,"Acacia",37.00,8.00
15.00,1.00,"Aerva-type lanata",1096.00,46.00
15.00,1.00,"Amaranthus-type",789.00,18.00
15.00,1.00,"Apiaceae undiff.",1171.00,1.00
15.00,1.00,"Artemisia",252.00,10.00
15.00,1.00,"Arthrocnemum macrostachyum-type",,5.00
15.00,1.00,"Asphodelus",2502.00,2.00
15.00,1.00,"Atriplex-type",,16.00
15.00,1.00,"Blepharis-type",2225.00,1.00
15.00,1.00,"Chenopodium-type",409.00,1.00
15.00,1.00,"Cichorieae undiff.",1180.00,5.00
15.00,1.00,"Cleome-type",648.00,1.00
15.00,1.00,"Conyza",,108.00
15.00,1.00,"Cyperaceae undiff.",1190.00,98.00
15.00,1.00,"Dodonaea viscosa-type",1222.00,2.00
15.00,1.00,"Ephedra fragilis-type",2065.00,3.00
15.00,1.00,"Indeterminable",1198.00,121.00
15.00,1.00,"Lamiaceae undiff.",1199.00,1.00
15.00,1.00,"Pinus",437.00,1.00
15.00,1.00,"Poaceae undiff.",1207.00,119.00
15.00,1.00,"Polycarpaea-type",2059.00,2.00
15.00,1.00,"Prosopis-type africana",3947.00,9.00
15.00,1.00,"Tribulus",440.00,5.00
15.00,1.00,"Urticaceae undiff.",1232.00,1.00
15.00,1.00,"Zygophyllum simplex-type",2425.00,9.00
16.00,1.00,"Aaronsohnia-type pubescens",,12.00
16.00,1.00,"Acacia",37.00,48.00
16.00,1.00,"Aerva-type lanata",1096.00,3.00
16.00,1.00,"Amaranthus-type",789.00,2.00
16.00,1.00,"Artemisia",252.00,7.00
16.00,1.00,"Arthrocnemum macrostachyum-type",,2.00
16.00,1.00,"Asphodelus",2502.00,31.00
16.00,1.00,"Atriplex-type",,11.00
16.00,1.00,"Blepharis-type",2225.00,3.00
16.00,1.00,"Brassicaceae undiff.",1182.00,2.00
16.00,1.00,"Chenopodium-type",409.00,1.00
16.00,1.00,"Cichorieae undiff.",1180.00,15.00
16.00,1.00,"Cistanche",2831.00,1.00
16.00,1.00,"Conyza",,127.00
16.00,1.00,"Cyperaceae undiff.",1190.00,22.00
16.00,1.00,"Dipterygium-type glaucum",3724.00,1.00
16.00,1.00,"Dodonaea viscosa-type",1222.00,2.00
16.00,1.00,"Eclipta-type prostrata",,1.00
16.00,1.00,"Fagonia",422.00,3.00
16.00,1.00,"Filago-type",,2.00
16.00,1.00,"Indeterminable",1198.00,32.00
16.00,1.00,"Lotus arabicus-type",362.00,2.00
16.00,1.00,"Olea europaea-type",1755.00,2.00
16.00,1.00,"Ophioglossum",1059.00,11.00
16.00,1.00,"Pinus",437.00,2.00
16.00,1.00,"Plantago ciliata-type",,20.00
16.00,1.00,"Poaceae undiff.",1207.00,714.00
16.00,1.00,"Polygala-type",110.00,1.00
16.00,1.00,"Polypodium-type polypodioides",3541.00,2.00
16.00,1.00,"Pteris-type",398.00,3.00
16.00,1.00,"Pulicaria",3644.00,28.00
16.00,1.00,"Tamarix",260.00,1.00
16.00,1.00,"Tribulus",440.00,3.00
16.00,1.00,"Vernonia perrottetii-type",1287.00,3.00
17.00,1.00,"Aaronsohnia-type pubescens",,1.00
17.00,1.00,"Acacia",37.00,6.00
17.00,1.00,"Aerva-type lanata",1096.00,10.00
17.00,1.00,"Amaranthus-type",789.00,8.00
17.00,1.00,"Andrachne aspera-type",,4.00
17.00,1.00,"Apiaceae undiff.",1171.00,1.00
17.00,1.00,"Artemisia",252.00,8.00
17.00,1.00,"Asphodelus",2502.00,5.00
17.00,1.00,"Atriplex-type",,6.00
17.00,1.00,"Blepharis-type",2225.00,60.00
17.00,1.00,"Cichorieae undiff.",1180.00,18.00
17.00,1.00,"Combretaceae undiff.",1187.00,6.00
17.00,1.00,"Convolvulus-type",661.00,5.00
17.00,1.00,"Conyza",,27.00
17.00,1.00,"Cyperaceae undiff.",1190.00,32.00
17.00,1.00,"Dodonaea viscosa-type",1222.00,2.00
17.00,1.00,"Ephedra distachya-type",2277.00,5.00
17.00,1.00,"Ephedra fragilis-type",2065.00,1.00
17.00,1.00,"Euphorbia-type",529.00,21.00
17.00,1.00,"Fagonia",422.00,12.00
17.00,1.00,"Indeterminable",1198.00,19.00
17.00,1.00,"Lamiaceae undiff.",1199.00,1.00
17.00,1.00,"Linum strictum-type",,5.00
17.00,1.00,"Plantago ciliata-type",,4.00
17.00,1.00,"Poaceae undiff.",1207.00,177.00
17.00,1.00,"Podocarpus",128.00,1.00
17.00,1.00,"Polygala-type",110.00,2.00
17.00,1.00,"Polypodium-type polypodioides",3541.00,1.00
17.00,1.00,"Pteris-type",398.00,3.00
17.00,1.00,"Pulicaria",3644.00,19.00
17.00,1.00,"Rumex",146.00,1.00
17.00,1.00,"Silene-type",3429.00,19.00
17.00,1.00,"Tamarix",260.00,2.00
17.00,1.00,"Tribulus",440.00,2.00
18.00,1.00,"Aaronsohnia-type pubescens",,2.00
18.00,1.00,"Acacia",37.00,5.00
18.00,1.00,"Aerva-type lanata",1096.00,9.00
18.00,1.00,"Amaranthus-type",789.00,16.00
18.00,1.00,"Artemisia",252.00,4.00
18.00,1.00,"Arthrocnemum macrostachyum-type",,11.00
18.00,1.00,"Asphodelus",2502.00,3.00
18.00,1.00,"Atriplex-type",,14.00
18.00,1.00,"Cichorieae undiff.",1180.00,11.00
18.00,1.00,"Combretaceae undiff.",1187.00,1.00
18.00,1.00,"Convolvulus-type",661.00,2.00
18.00,1.00,"Conyza",,82.00
18.00,1.00,"Corchorus-type",2075.00,2.00
18.00,1.00,"Cyperaceae undiff.",1190.00,255.00
18.00,1.00,"Dipterygium-type glaucum",3724.00,1.00
18.00,1.00,"Dodonaea viscosa-type",1222.00,4.00
18.00,1.00,"Echinops spinosus-type",3637.00,1.00
18.00,1.00,"Ephedra distachya-type",2277.00,3.00
18.00,1.00,"Ephedra fragilis-type",2065.00,2.00
18.00,1.00,"Euphorbia-type",529.00,1.00
18.00,1.00,"Indeterminable",1198.00,56.00
18.00,1.00,"Moringa",,1.00
18.00,1.00,"Olea europaea-type",1755.00,1.00
18.00,1.00,"Ophioglossum",1059.00,71.00
18.00,1.00,"Paronychia",2555.00,2.00
18.00,1.00,"Plantago ciliata-type",,2.00
18.00,1.00,"Poaceae undiff.",1207.00,96.00
18.00,1.00,"Polycarpon-type",2060.00,2.00
18.00,1.00,"Polygala-type",110.00,20.00
18.00,1.00,"Polypodium-type polypodioides",3541.00,1.00
18.00,1.00,"Pteris-type",398.00,4.00
18.00,1.00,"Pulicaria",3644.00,15.00
18.00,1.00,"Tamarix",260.00,2.00
18.00,1.00,"Tribulus",440.00,3.00
18.00,1.00,"Vernonia perrottetii-type",1287.00,10.00
19.00,1.00,"Aaronsohnia-type pubescens",,1.00
19.00,1.00,"Acacia",37.00,55.00
19.00,1.00,"Aerva-type lanata",1096.00,30.00
19.00,1.00,"Amaranthus-type",789.00,12.00
19.00,1.00,"Andrachne aspera-type",,2.00
19.00,1.00,"Anticharis-type",,18.00
19.00,1.00,"Artemisia",252.00,2.00
19.00,1.00,"Arthrocnemum macrostachyum-type",,12.00
19.00,1.00,"Atriplex-type",,29.00
19.00,1.00,"Celosia-type",643.00,1.00
19.00,1.00,"Conyza",,27.00
19.00,1.00,"Cynoglossum-type",3394.00,138.00
19.00,1.00,"Cyperaceae undiff.",1190.00,45.00
19.00,1.00,"Dodonaea viscosa-type",1222.00,3.00
19.00,1.00,"Ephedra fragilis-type",2065.00,5.00
19.00,1.00,"Euphorbia-type",529.00,42.00
19.00,1.00,"Fagonia",422.00,1.00
19.00,1.00,"Indeterminable",1198.00,37.00
19.00,1.00,"Lamiaceae undiff.",1199.00,21.00
19.00,1.00,"Olea europaea-type",1755.00,5.00
19.00,1.00,"Plantago ciliata-type",,1.00
19.00,1.00,"Poaceae undiff.",1207.00,45.00
19.00,1.00,"Polygala-type",110.00,1.00
19.00,1.00,"Pteris-type",398.00,1.00
19.00,1.00,"Pulicaria",3644.00,6.00
19.00,1.00,"Rumex",146.00,7.00
19.00,1.00,"Syzygium-type",5.00,11.00
19.00,1.00,"Tamarix",260.00,2.00
19.00,1.00,"Tribulus",440.00,4.00
19.00,1.00,"Vernonia perrottetii-type",1287.00,11.00
20.00,1.00,"Aaronsohnia-type pubescens",,1.00
20.00,1.00,"Acacia",37.00,7.00
20.00,1.00,"Aerva-type lanata",1096.00,34.00
20.00,1.00,"Amaranthus-type",789.00,18.00
20.00,1.00,"Andrachne aspera-type",,2.00
20.00,1.00,"Anticharis-type",,17.00
20.00,1.00,"Apiaceae undiff.",1171.00,3.00
20.00,1.00,"Artemisia",252.00,2.00
20.00,1.00,"Arthrocnemum macrostachyum-type",,16.00
